ID,year,region,npg,birth_rate,death_rate,gdw,urbanization
35,1990,Leningrad Oblast,-1.5,11.0,12.5,82.65,66.05
36,1990,Lipetsk Oblast,-0.7,12.1,12.8,78.8,62.64
37,1990,Magadan Oblast,8.0,13.6,5.6,49.73,84.29
38,1990,Mari El Republic,5.5,15.8,10.3,80.73,61.57
39,1990,Republic of Mordovia,2.0,13.4,11.4,80.54,56.78
40,1990,Moscow,-2.2,10.6,12.8,71.52,100.0
41,1990,Moscow Oblast,-2.0,10.2,12.2,71.46,79.67
42,1990,Murmansk Oblast,5.4,11.2,5.8,54.9,91.42
43,1990,Nenets Autonomous Okrug,10.3,17.7,7.4,62.46,63.78
44,1990,Nizhny Novgorod Oblast,-1.6,11.3,12.9,79.62,77.19
45,1990,Novgorod Oblast,-1.8,12.3,14.1,83.06,69.68
46,1990,Novosibirsk Oblast,2.4,13.2,10.8,75.45,74.39
47,1990,Omsk Oblast,5.6,14.9,9.3,77.93,67.9
48,1990,Orenburg Oblast,5.8,15.5,9.7,79.17,64.54
49,1990,Oryol Oblast,-0.7,12.3,13.0,79.55,62.12
50,1990,Penza Oblast,0.1,12.0,11.9,79.16,63.02
51,1990,Perm Krai,2.8,13.9,11.1,76.95,76.98
52,1990,Primorsky Krai,5.5,14.6,9.1,63.31,77.23
53,1990,Pskov Oblast,-3.2,11.9,15.1,84.99,63.14
54,1990,Altai Republic,8.4,19.3,10.9,90.07,27.17
55,1990,Komi Republic,6.1,13.6,7.5,61.94,75.7
56,1990,Tuva Republic,17.7,26.3,8.6,82.84,46.97
57,1990,Rostov Oblast,0.0,12.5,12.5,76.34,71.24
58,1990,Ryazan Oblast,-2.4,11.6,14.0,80.7,65.5
59,1990,Samara Oblast,1.2,12.3,11.1,72.58,80.75
60,1990,Saint Petersburg,-1.4,10.9,12.3,68.2,100.0
61,1990,Saratov Oblast,1.6,13.4,11.8,74.58,74.1
62,1990,Sakhalin Oblast,6.1,14.2,8.1,59.44,84.75
63,1990,Sverdlovsk Oblast,1.0,12.1,11.1,75.83,87.58
64,1990,Sevastopol,,,,,
65,1990,Republic of North Ossetia-Alania,7.4,16.9,9.5,78.98,69.2
66,1990,Smolensk Oblast,-1.4,11.9,13.3,82.65,68.11
67,1990,Stavropol Krai,3.2,14.8,11.6,80.55,54.04
68,1990,Tambov Oblast,-3.2,11.7,14.9,85.32,56.28
69,1990,Republic of Tatarstan,5.5,15.4,9.9,77.53,73.37
70,1990,Tver Oblast,-3.4,11.5,14.9,85.76,71.29
71,1990,Tomsk Oblast,3.9,12.6,8.7,70.98,70.83
72,1990,Tula Oblast,-4.3,10.2,14.5,81.7,81.29
73,1990,Tyumen Oblast,9.6,15.9,6.3,73.61,76.51
74,1990,Udmurt Republic,5.3,15.1,9.8,77.72,70.14
75,1990,Ulyanovsk Oblast,2.8,14.1,11.3,76.34,71.78
76,1990,Khabarovsk Krai,5.9,15.1,9.2,63.58,80.22
77,1990,Republic of Khakassia,4.7,15.3,10.6,77.75,72.67
78,1990,Khanty–Mansi Autonomous Okrug – Yugra,12.9,17.1,4.2,58.98,91.66
79,1990,Chelyabinsk Oblast,2.7,13.1,10.4,76.27,82.82
80,1990,Chechen Republic,15.8,24.1,8.3,89.49,43.86
81,1990,Chuvash Republic,5.7,15.8,10.1,81.68,58.32
82,1990,Chukotka Autonomous Okrug,10.1,13.8,3.7,48.12,72.74
83,1990,Sakha (Yakutia) Republic,12.7,19.4,6.7,64.27,66.88
84,1990,Yamalo-Nenets Autonomous Okrug,13.1,16.4,3.3,53.35,78.97
85,1990,Yaroslavl Oblast,-1.9,11.3,13.2,78.51,81.6
86,1991,Republic of Adygea,0.0,13.5,13.5,85.42,52.51
87,1991,Altai Krai,0.4,11.7,11.3,79.95,58.08
88,1991,Amur Oblast,5.3,14.3,9.0,70.26,68.53
89,1991,Arkhangelsk Oblast,2.0,11.9,9.9,73.65,73.81
90,1991,Astrakhan Oblast,2.8,13.9,11.1,77.99,68.2
91,1991,Republic of Bashkortostan,4.7,14.7,10.0,81.85,64.41
92,1991,Belgorod Oblast,-1.8,11.5,13.3,84.43,63.7
93,1991,Bryansk Oblast,-1.1,12.0,13.1,87.96,68.01
94,1991,Republic of Buryatia,6.7,16.0,9.3,79.65,60.44
95,1991,Vladimir Oblast,-2.2,10.3,12.5,78.86,79.47
96,1991,Volgograd Oblast,0.3,11.9,11.6,78.18,75.8
97,1991,Vologda Oblast,-0.1,11.9,12.0,82.95,65.9
98,1991,Voronezh Oblast,-3.7,10.5,14.2,84.82,61.22
99,1991,Republic of Dagestan,18.6,24.9,6.3,95.05,43.97
100,1991,Jewish Autonomous Oblast,6.2,16.0,9.8,75.27,64.95
101,1991,Zabaykalsky Krai,6.7,16.0,9.3,78.21,64.19
102,1991,Ivanovo Oblast,-4.2,10.2,14.4,82.63,82.22
103,1991,Republic of Ingushetia,,,,96.32,27.8
104,1991,Irkutsk Oblast,4.4,14.7,10.3,73.02,80.44
105,1991,Kabardino-Balkar Republic,10.1,19.0,8.9,80.59,60.97
106,1991,Kaliningrad Oblast,1.8,11.7,9.9,68.7,78.94
107,1991,Republic of Kalmykia,11.1,19.5,8.4,78.73,45.98
108,1991,Kaluga Oblast,-1.8,10.6,12.4,78.18,70.07
109,1991,Kamchatka Krai,5.2,11.3,6.1,49.64,81.47
110,1991,Karachay-Cherkess Republic,8.0,16.7,8.7,82.75,49.12
111,1991,Republic of Karelia,0.9,11.4,10.5,73.21,81.83
112,1991,Kemerovo Oblast,0.2,11.8,11.6,76.91,87.06
113,1991,Kirov Oblast,-1.0,11.5,12.5,83.41,69.71
114,1991,Kostroma Oblast,-2.6,11.3,13.9,84.81,69.04
115,1991,Krasnodar Krai,-1.2,12.5,13.7,83.18,54.27
116,1991,Krasnoyarsk Krai,3.1,12.5,9.4,69.7,73.91
117,1991,Republic of Crimea,,,,,
118,1991,Kurgan Oblast,1.4,13.2,11.8,82.12,55.08
119,1991,Kursk Oblast,-4.2,10.6,14.8,86.21,58.91
120,1991,Leningrad Oblast,-2.8,9.8,12.6,83.26,66.09
121,1991,Lipetsk Oblast,-2.4,10.8,13.2,79.73,63.05
122,1991,Magadan Oblast,6.3,12.1,5.8,49.67,84.62
123,1991,Mari El Republic,3.7,14.0,10.3,81.31,62.06
124,1991,Republic of Mordovia,0.5,12.0,11.5,80.98,57.24
125,1991,Moscow,-3.7,9.1,12.8,70.74,100.0
126,1991,Moscow Oblast,-3.5,8.9,12.4,72.06,79.68
127,1991,Murmansk Oblast,3.8,9.8,6.0,54.98,91.58
128,1991,Nenets Autonomous Okrug,9.3,16.7,7.4,63.6,63.83
129,1991,Nizhny Novgorod Oblast,-2.8,9.9,12.7,80.56,77.12
130,1991,Novgorod Oblast,-3.7,10.9,14.6,83.71,69.89
131,1991,Novosibirsk Oblast,1.2,12.1,10.9,75.87,74.58
132,1991,Omsk Oblast,3.9,13.8,9.9,78.25,68.1
133,1991,Orenburg Oblast,3.5,13.9,10.4,80.05,64.67
134,1991,Oryol Oblast,-2.4,11.0,13.4,80.37,62.41
135,1991,Penza Oblast,-0.9,10.9,11.8,79.48,63.38
136,1991,Perm Krai,0.9,12.3,11.4,77.29,77.16
137,1991,Primorsky Krai,3.2,12.9,9.7,63.68,77.23
138,1991,Pskov Oblast,-4.7,10.7,15.4,85.72,63.48
139,1991,Altai Republic,7.7,18.2,10.5,89.98,27.07
140,1991,Komi Republic,4.8,12.7,7.9,62.35,76.02
141,1991,Tuva Republic,14.4,23.9,9.5,83.85,47.38
142,1991,Rostov Oblast,-1.0,11.7,12.7,77.43,71.14
143,1991,Ryazan Oblast,-3.6,10.3,13.9,81.46,65.85
144,1991,Samara Oblast,-0.2,11.0,11.2,72.76,80.87
145,1991,Saint Petersburg,-3.3,9.3,12.6,68.94,100.0
146,1991,Saratov Oblast,0.2,12.0,11.8,75.25,74.64
147,1991,Sakhalin Oblast,3.5,12.2,8.7,59.47,84.94
148,1991,Sverdlovsk Oblast,-0.7,10.7,11.4,76.28,87.61
149,1991,Sevastopol,,,,,
150,1991,Republic of North Ossetia-Alania,6.3,16.2,9.9,80.61,69.14
151,1991,Smolensk Oblast,-3.0,10.7,13.7,83.26,68.46
152,1991,Stavropol Krai,2.1,13.8,11.7,81.78,54.01
153,1991,Tambov Oblast,-4.6,10.6,15.2,86.09,56.52
154,1991,Republic of Tatarstan,3.5,13.6,10.1,78.33,73.64
155,1991,Tver Oblast,-4.7,10.2,14.9,86.82,71.34
156,1991,Tomsk Oblast,2.0,10.9,8.9,71.02,70.72
157,1991,Tula Oblast,-5.4,9.0,14.4,82.69,81.42
158,1991,Tyumen Oblast,7.2,14.0,6.8,73.48,77.48
159,1991,Udmurt Republic,3.8,13.7,9.9,77.93,70.29
160,1991,Ulyanovsk Oblast,1.2,12.5,11.3,77.21,72.03
161,1991,Khabarovsk Krai,3.8,13.1,9.3,64.05,80.28
162,1991,Republic of Khakassia,3.4,14.2,10.8,78.51,72.57
163,1991,Khanty–Mansi Autonomous Okrug – Yugra,10.3,14.9,4.6,58.89,91.9
164,1991,Chelyabinsk Oblast,1.2,11.7,10.5,76.9,82.77
165,1991,Chechen Republic,14.6,22.6,8.0,87.18,47.76
166,1991,Chuvash Republic,4.2,14.2,10.0,82.51,58.94
167,1991,Chukotka Autonomous Okrug,8.4,12.5,4.1,47.76,72.43
168,1991,Sakha (Yakutia) Republic,11.0,17.8,6.8,64.54,66.78
169,1991,Yamalo-Nenets Autonomous Okrug,11.3,14.7,3.4,53.22,82.69
170,1991,Yaroslavl Oblast,-3.7,9.7,13.4,78.79,81.72
171,1992,Republic of Adygea,-1.5,12.0,13.5,85.46,52.49
172,1992,Altai Krai,-1.4,10.4,11.8,79.55,55.21
173,1992,Amur Oblast,2.3,12.4,10.1,70.73,66.94
174,1992,Arkhangelsk Oblast,-1.3,10.4,11.7,73.73,73.28
175,1992,Astrakhan Oblast,0.9,12.1,11.2,78.35,67.6
176,1992,Republic of Bashkortostan,2.4,13.3,10.9,83.0,64.38
177,1992,Belgorod Oblast,-3.2,10.5,13.7,84.91,64.01
178,1992,Bryansk Oblast,-2.5,11.2,13.7,88.97,68.3
179,1992,Republic of Buryatia,3.4,13.3,9.9,79.68,59.77
180,1992,Vladimir Oblast,-4.3,9.1,13.4,79.57,79.6
181,1992,Volgograd Oblast,-1.4,10.6,12.0,78.89,75.78
182,1992,Vologda Oblast,-2.9,10.3,13.2,83.06,65.97
183,1992,Voronezh Oblast,-5.0,9.5,14.5,85.82,61.32
184,1992,Republic of Dagestan,16.3,22.9,6.6,94.99,44.12
185,1992,Jewish Autonomous Oblast,2.3,13.9,11.6,75.14,64.71
186,1992,Zabaykalsky Krai,4.1,14.2,10.1,78.31,64.31
187,1992,Ivanovo Oblast,-6.1,9.0,15.1,82.97,82.27
188,1992,Republic of Ingushetia,,,,97.53,27.06
189,1992,Irkutsk Oblast,1.2,12.6,11.4,73.43,80.38
190,1992,Kabardino-Balkar Republic,8.3,17.2,8.9,81.18,60.81
191,1992,Kaliningrad Oblast,-0.7,10.3,11.0,69.69,78.87
192,1992,Republic of Kalmykia,9.5,18.2,8.7,80.25,46.41
193,1992,Kaluga Oblast,-3.9,9.3,13.2,78.96,73.41
194,1992,Kamchatka Krai,2.8,10.2,7.4,49.64,81.54
195,1992,Karachay-Cherkess Republic,6.8,15.9,9.1,83.51,49.23
196,1992,Republic of Karelia,-2.4,10.1,12.5,73.44,82.02
197,1992,Kemerovo Oblast,-2.8,10.3,13.1,77.02,86.97
198,1992,Kirov Oblast,-2.9,10.1,13.0,83.51,69.79
199,1992,Kostroma Oblast,-5.2,9.3,14.5,85.13,69.11
200,1992,Krasnodar Krai,-2.4,11.5,13.9,83.1,54.18
201,1992,Krasnoyarsk Krai,0.4,11.0,10.6,69.97,73.65
202,1992,Republic of Crimea,,,,,
203,1992,Kurgan Oblast,-0.6,11.8,12.4,82.47,55.08
204,1992,Kursk Oblast,-5.2,9.7,14.9,87.12,59.21
205,1992,Leningrad Oblast,-5.6,8.6,14.2,83.75,66.21
206,1992,Lipetsk Oblast,-3.9,9.7,13.6,80.54,63.41
207,1992,Magadan Oblast,2.3,10.1,7.8,50.1,84.06
208,1992,Mari El Republic,1.2,12.2,11.0,81.37,62.36
209,1992,Republic of Mordovia,-1.4,10.6,12.0,81.24,57.65
210,1992,Moscow,-5.9,7.6,13.5,70.37,100.0
211,1992,Moscow Oblast,-5.5,7.7,13.2,72.69,79.7
212,1992,Murmansk Oblast,0.8,8.3,7.5,55.15,91.79
213,1992,Nenets Autonomous Okrug,5.9,14.7,8.8,64.41,63.4
214,1992,Nizhny Novgorod Oblast,-4.5,9.0,13.5,81.1,77.35
215,1992,Novgorod Oblast,-6.2,9.5,15.7,84.25,70.12
216,1992,Novosibirsk Oblast,-1.2,10.4,11.6,76.08,74.47
217,1992,Omsk Oblast,2.0,12.2,10.2,78.56,67.88
218,1992,Orenburg Oblast,1.5,12.6,11.1,80.98,64.49
219,1992,Oryol Oblast,-4.4,9.7,14.1,81.49,62.68
220,1992,Penza Oblast,-2.7,9.6,12.3,79.76,63.59
221,1992,Perm Krai,-1.4,11.2,12.6,77.3,77.14
222,1992,Primorsky Krai,0.3,10.9,10.6,63.88,77.14
223,1992,Pskov Oblast,-7.4,9.3,16.7,86.46,63.9
224,1992,Altai Republic,5.1,16.6,11.5,89.91,26.68
225,1992,Komi Republic,2.0,11.4,9.4,62.94,75.73
226,1992,Tuva Republic,11.7,21.6,9.9,83.4,48.1
227,1992,Rostov Oblast,-2.4,10.7,13.1,78.24,70.81
228,1992,Ryazan Oblast,-5.7,9.0,14.7,82.32,66.11
229,1992,Samara Oblast,-1.9,9.9,11.8,73.0,80.63
230,1992,Saint Petersburg,-5.9,7.6,13.5,69.65,100.0
231,1992,Saratov Oblast,-2.0,10.5,12.5,75.85,74.38
232,1992,Sakhalin Oblast,1.2,10.5,9.3,59.56,84.97
233,1992,Sverdlovsk Oblast,-3.2,9.4,12.6,76.31,87.48
234,1992,Sevastopol,,,,,
235,1992,Republic of North Ossetia-Alania,4.3,14.7,10.4,77.41,67.96
236,1992,Smolensk Oblast,-4.8,9.3,14.1,83.75,68.8
237,1992,Stavropol Krai,1.1,13.0,11.9,82.15,53.9
238,1992,Tambov Oblast,-5.6,9.7,15.3,86.92,56.7
239,1992,Republic of Tatarstan,1.5,12.1,10.6,78.86,73.37
240,1992,Tver Oblast,-7.4,8.8,16.2,87.7,71.53
241,1992,Tomsk Oblast,-0.3,9.5,9.8,70.85,70.65
242,1992,Tula Oblast,-7.6,8.2,15.8,83.66,81.51
243,1992,Tyumen Oblast,4.3,11.9,7.6,73.91,76.79
244,1992,Udmurt Republic,1.3,12.4,11.1,77.93,70.18
245,1992,Ulyanovsk Oblast,-0.5,10.9,11.4,77.74,72.19
246,1992,Khabarovsk Krai,0.4,10.9,10.5,64.18,80.28
247,1992,Republic of Khakassia,0.1,12.0,11.9,78.44,72.46
248,1992,Khanty–Mansi Autonomous Okrug – Yugra,6.9,12.5,5.6,58.86,91.93
249,1992,Chelyabinsk Oblast,-1.1,10.3,11.4,77.24,82.1
250,1992,Chechen Republic,12.5,19.9,7.4,86.71,46.33
251,1992,Chuvash Republic,1.9,12.4,10.5,82.51,59.31
252,1992,Chukotka Autonomous Okrug,5.9,11.5,5.6,48.01,73.26
253,1992,Sakha (Yakutia) Republic,8.3,16.3,8.0,65.15,66.7
254,1992,Yamalo-Nenets Autonomous Okrug,8.5,13.0,4.5,53.06,82.62
255,1992,Yaroslavl Oblast,-6.4,8.3,14.7,78.8,81.52
256,1993,Republic of Adygea,-4.2,10.7,14.9,85.73,53.69
257,1993,Altai Krai,-4.9,9.1,14.0,79.16,52.26
258,1993,Amur Oblast,-1.8,10.7,12.5,70.59,66.42
259,1993,Arkhangelsk Oblast,-5.4,9.1,14.5,73.56,73.29
260,1993,Astrakhan Oblast,-2.8,10.3,13.1,78.62,67.59
261,1993,Republic of Bashkortostan,-1.0,11.6,12.6,83.62,64.19
262,1993,Belgorod Oblast,-5.8,9.6,15.4,84.85,64.07
263,1993,Bryansk Oblast,-5.8,10.2,16.0,89.52,68.2
264,1993,Republic of Buryatia,-0.4,11.5,11.9,79.18,59.49
265,1993,Vladimir Oblast,-7.8,8.0,15.8,80.1,79.59
266,1993,Volgograd Oblast,-4.3,9.5,13.8,79.26,74.81
267,1993,Vologda Oblast,-6.4,9.0,15.4,83.01,66.04
268,1993,Voronezh Oblast,-8.1,8.6,16.7,86.21,61.16
269,1993,Republic of Dagestan,13.5,20.8,7.3,95.02,43.37
270,1993,Jewish Autonomous Oblast,-0.9,12.1,13.0,74.31,64.91
271,1993,Zabaykalsky Krai,-0.3,12.6,12.9,78.17,63.64
272,1993,Ivanovo Oblast,-9.0,8.1,17.1,83.36,82.27
273,1993,Republic of Ingushetia,,,,97.33,25.91
274,1993,Irkutsk Oblast,-2.7,11.1,13.8,73.6,79.32
275,1993,Kabardino-Balkar Republic,4.9,14.6,9.7,82.02,59.5
276,1993,Kaliningrad Oblast,-4.5,8.9,13.4,70.12,78.57
277,1993,Republic of Kalmykia,5.9,15.8,9.9,81.9,37.08
278,1993,Kaluga Oblast,-7.9,8.0,15.9,79.65,73.39
279,1993,Kamchatka Krai,-1.3,8.6,9.9,49.67,81.65
280,1993,Karachay-Cherkess Republic,2.9,12.9,10.0,84.27,47.61
281,1993,Republic of Karelia,-6.1,9.0,15.1,73.6,73.74
282,1993,Kemerovo Oblast,-6.6,9.1,15.7,77.03,86.85
283,1993,Kirov Oblast,-6.3,8.8,15.1,83.75,69.66
284,1993,Kostroma Oblast,-7.9,8.3,16.2,85.38,65.99
285,1993,Krasnodar Krai,-5.5,10.2,15.7,83.15,54.08
286,1993,Krasnoyarsk Krai,-3.3,9.7,13.0,69.85,73.56
287,1993,Republic of Crimea,,,,,
288,1993,Kurgan Oblast,-4.8,9.9,14.7,82.57,54.67
289,1993,Kursk Oblast,-7.6,9.1,16.7,87.54,59.01
290,1993,Leningrad Oblast,-10.7,7.1,17.8,84.04,66.24
291,1993,Lipetsk Oblast,-6.9,8.7,15.6,80.87,62.68
292,1993,Magadan Oblast,-2.4,8.9,11.3,50.29,84.58
293,1993,Mari El Republic,-2.1,10.6,12.7,81.46,62.21
294,1993,Republic of Mordovia,-4.1,9.7,13.8,81.23,57.73
295,1993,Moscow,-9.2,6.9,16.1,70.65,100.0
296,1993,Moscow Oblast,-9.1,6.9,16.0,73.42,79.69
297,1993,Murmansk Oblast,-2.8,7.2,10.0,55.19,92.07
298,1993,Nenets Autonomous Okrug,1.2,12.4,11.2,64.75,63.21
299,1993,Nizhny Novgorod Oblast,-8.1,7.9,16.0,81.75,77.35
300,1993,Novgorod Oblast,-10.9,8.0,18.9,84.91,70.09
301,1993,Novosibirsk Oblast,-5.5,8.9,14.4,76.25,73.99
302,1993,Omsk Oblast,-1.1,10.8,11.9,78.31,67.71
303,1993,Orenburg Oblast,-2.0,11.0,13.0,81.17,64.19
304,1993,Oryol Oblast,-6.9,9.2,16.1,82.01,62.49
305,1993,Penza Oblast,-5.9,8.9,14.8,79.57,63.45
306,1993,Perm Krai,-5.4,9.8,15.2,77.19,76.76
307,1993,Primorsky Krai,-3.4,9.6,13.0,63.86,77.18
308,1993,Pskov Oblast,-12.4,8.1,20.5,86.88,64.03
309,1993,Altai Republic,1.2,14.6,13.4,89.07,26.5
310,1993,Komi Republic,-2.1,10.1,12.2,63.06,75.2
311,1993,Tuva Republic,8.8,20.3,11.5,82.46,48.17
312,1993,Rostov Oblast,-5.5,9.4,14.9,79.18,68.73
313,1993,Ryazan Oblast,-9.1,8.1,17.2,83.07,65.98
314,1993,Samara Oblast,-4.9,9.1,14.0,72.79,80.51
315,1993,Saint Petersburg,-10.8,6.6,17.4,70.97,100.0
316,1993,Saratov Oblast,-5.5,9.1,14.6,75.92,74.06
317,1993,Sakhalin Oblast,-3.3,9.0,12.3,59.5,84.91
318,1993,Sverdlovsk Oblast,-6.5,8.5,15.0,76.3,87.46
319,1993,Sevastopol,,,,,
320,1993,Republic of North Ossetia-Alania,0.6,12.5,11.9,81.15,69.68
321,1993,Smolensk Oblast,-8.4,8.3,16.7,84.04,68.82
322,1993,Stavropol Krai,-2.3,11.0,13.3,82.98,53.55
323,1993,Tambov Oblast,-8.6,8.9,17.5,86.91,56.6
324,1993,Republic of Tatarstan,-0.9,11.0,11.9,78.94,73.33
325,1993,Tver Oblast,-11.8,7.9,19.7,88.6,71.43
326,1993,Tomsk Oblast,-4.4,8.1,12.5,70.56,65.73
327,1993,Tula Oblast,-10.8,7.7,18.5,84.45,81.39
328,1993,Tyumen Oblast,1.2,10.6,9.4,73.77,76.65
329,1993,Udmurt Republic,-2.9,10.6,13.5,77.42,69.83
330,1993,Ulyanovsk Oblast,-3.4,9.8,13.2,78.0,72.07
331,1993,Khabarovsk Krai,-2.8,9.7,12.5,63.89,80.27
332,1993,Republic of Khakassia,-3.9,10.7,14.6,78.07,72.3
333,1993,Khanty–Mansi Autonomous Okrug – Yugra,4.0,11.4,7.4,57.67,92.29
334,1993,Chelyabinsk Oblast,-4.5,8.9,13.4,77.32,81.38
335,1993,Chechen Republic,,,,86.37,44.85
336,1993,Chuvash Republic,-1.8,10.7,12.5,82.38,59.23
337,1993,Chukotka Autonomous Okrug,2.4,10.1,7.7,47.75,71.97
338,1993,Sakha (Yakutia) Republic,6.8,15.6,8.8,65.22,65.92
339,1993,Yamalo-Nenets Autonomous Okrug,6.3,12.2,5.9,51.79,82.69
340,1993,Yaroslavl Oblast,-9.9,7.2,17.1,79.05,81.17
341,1994,Republic of Adygea,-3.6,10.9,14.5,85.21,53.46
342,1994,Altai Krai,-5.9,9.2,15.1,78.21,52.06
343,1994,Amur Oblast,-2.3,11.0,13.3,69.48,66.14
344,1994,Arkhangelsk Oblast,-6.5,9.4,15.9,72.64,73.36
345,1994,Astrakhan Oblast,-3.6,10.7,14.3,78.07,67.46
346,1994,Republic of Bashkortostan,-1.7,11.7,13.4,83.69,64.16
347,1994,Belgorod Oblast,-5.8,9.8,15.6,84.22,64.25
348,1994,Bryansk Oblast,-7.2,9.8,17.0,89.08,68.07
349,1994,Republic of Buryatia,-1.2,11.9,13.1,77.97,59.43
350,1994,Vladimir Oblast,-9.3,8.1,17.4,80.1,79.65
351,1994,Volgograd Oblast,-5.8,9.5,15.3,78.93,74.36
352,1994,Vologda Oblast,-7.9,8.9,16.8,82.17,66.73
353,1994,Voronezh Oblast,-8.5,8.7,17.2,86.06,61.08
354,1994,Republic of Dagestan,13.8,21.0,7.2,94.37,43.09
355,1994,Jewish Autonomous Oblast,-2.1,12.1,14.2,72.92,64.96
356,1994,Zabaykalsky Krai,-1.6,13.0,14.6,77.01,63.51
357,1994,Ivanovo Oblast,-11.4,7.7,19.1,83.1,82.22
358,1994,Republic of Ingushetia,,,,95.25,25.31
359,1994,Irkutsk Oblast,-3.8,11.4,15.2,73.29,79.29
360,1994,Kabardino-Balkar Republic,4.1,14.0,9.9,82.33,59.18
361,1994,Kaliningrad Oblast,-5.6,9.1,14.7,69.78,78.42
362,1994,Republic of Kalmykia,4.6,14.8,10.2,81.79,37.47
363,1994,Kaluga Oblast,-9.3,8.2,17.5,79.41,73.3
364,1994,Kamchatka Krai,-2.0,9.2,11.2,49.34,81.84
365,1994,Karachay-Cherkess Republic,2.7,13.3,10.6,84.53,47.38
366,1994,Republic of Karelia,-8.4,8.8,17.2,73.29,73.97
367,1994,Kemerovo Oblast,-8.1,9.2,17.3,76.53,86.77
368,1994,Kirov Oblast,-8.0,8.6,16.6,83.3,69.85
369,1994,Kostroma Oblast,-9.7,8.8,18.5,85.13,66.18
370,1994,Krasnodar Krai,-5.4,10.4,15.8,82.55,53.95
371,1994,Krasnoyarsk Krai,-4.6,10.3,14.9,69.48,73.56
372,1994,Republic of Crimea,,,,,
373,1994,Kurgan Oblast,-5.3,10.1,15.4,82.12,54.8
374,1994,Kursk Oblast,-8.9,9.3,18.2,87.48,59.11
375,1994,Leningrad Oblast,-12.0,7.3,19.3,83.31,66.24
376,1994,Lipetsk Oblast,-8.1,8.8,16.9,80.87,62.7
377,1994,Magadan Oblast,-2.8,8.7,11.5,49.54,84.67
378,1994,Mari El Republic,-3.8,10.4,14.2,80.74,62.28
379,1994,Republic of Mordovia,-6.1,9.3,15.4,80.83,57.81
380,1994,Moscow,-9.5,7.4,16.9,69.93,100.0
381,1994,Moscow Oblast,-10.8,7.2,18.0,73.56,79.64
382,1994,Murmansk Oblast,-3.3,8.4,11.7,54.47,92.22
383,1994,Nenets Autonomous Okrug,2.7,14.3,11.6,63.97,62.89
384,1994,Nizhny Novgorod Oblast,-9.6,8.3,17.9,81.6,77.38
385,1994,Novgorod Oblast,-12.3,8.1,20.4,84.5,70.11
386,1994,Novosibirsk Oblast,-7.0,8.8,15.8,75.63,73.91
387,1994,Omsk Oblast,-2.4,10.6,13.0,77.59,67.61
388,1994,Orenburg Oblast,-3.1,11.1,14.2,80.48,64.06
389,1994,Oryol Oblast,-7.4,9.5,16.9,82.12,62.3
390,1994,Penza Oblast,-7.5,8.7,16.2,79.18,63.51
391,1994,Perm Krai,-7.5,9.8,17.3,76.49,76.79
392,1994,Primorsky Krai,-3.7,10.0,13.7,63.32,77.12
